Account,Region,SecurityIDType,SecurityID,Description,Quantity,RequestID,QuantityReceived,Rate,LocateID
CIL,US,SEDOL,B3K45W9,EUO US Equity,37000,,14847,5.63,4414963083307599753-CPB10920
CIL,US,SEDOL,BW9PHW0,EUSC US Equity,34000,,0,N/A,N/A
CIL,US,SEDOL,2301057,EV US Equity,23000,,23000,GC,8599569326117963416-CPB10920
CIL,US,SEDOL,BWXV3D7,EVA US Equity,32000,,0,N/A,N/A
CIL,US,SEDOL,BYY5ZB4,EVBG US Equity,16000,,16000,GC,3691355446001157160-CPB10920
CIL,US,SEDOL,BG88WS9,EVER US Equity,47000,,43734,2.88,5579785429686242019-CPB10920
CIL,US,SEDOL,2494032,EVF US Equity,163000,,32546,18.38,3545551393703216098-CPB10920
CIL,US,SEDOL,BDRKBH7,EVFM US Equity,199000,,4284,17.63,2518689583618999470-CPB10920
CIL,US,SEDOL,B06C1K6,EVG US Equity,76000,,8910,52.25,5752050639124320088-CPB10920
CIL,US,SEDOL,BYLY8H1,EVH US Equity,123000,,123000,GC,4970837662855378282-CPB10920
CIL,US,SEDOL,BGSPSG0,EVI US Equity,32000,,0,N/A,N/A
CIL,US,SEDOL,BFMFL82,EVLO US Equity,153000,,21790,2.63,5218084549867125169-CPB10920
CIL,US,SEDOL,2979090,EVM US Equity,89000,,0,N/A,N/A
CIL,US,SEDOL,2609847,EVN US Equity,79000,,0,N/A,N/A
CIL,US,SEDOL,BG5NSM3,EVOP US Equity,36000,,36000,GC,5373613574462683887-CPB10920
CIL,US,SEDOL,B1BHXZ2,EVR US Equity,13000,,13000,GC,9062018096877910431-CPB10920
CIL,US,SEDOL,BFMXGR0,EVRG US Equity,15000,,15000,GC,1262555360048203211-CPB10920
CIL,US,SEDOL,BYV34V4,EVRI US Equity,110000,,110000,GC,4592624482588537137-CPB10920
CIL,US,SEDOL,2885454,EVT US Equity,41000,,0,N/A,N/A
CIL,US,SEDOL,B7KY3Z6,EVTC US Equity,32000,,32000,GC,8772530352402905640-CPB10920
CIL,US,SEDOL,2689247,EVV US Equity,80000,,80000,5.13,97440231138935862-CPB10920
CIL,US,SEDOL,BZ6C521,EVX US Equity,10000,,0,N/A,N/A
CIL,US,SEDOL,2567116,EW US Equity,11000,,11000,GC,8712899036732700064-CPB10920
CIL,US,SEDOL,2373658,EWA US Equity,45000,,45000,GC,3650031296579810401-CPB10920
CIL,US,SEDOL,2487407,EWBC US Equity,23000,,23000,GC,3822675203217507604-CPB10920
CIL,US,SEDOL,2373681,EWC US Equity,35000,,5931,GC,7966748383428460389-CPB10920
CIL,US,SEDOL,2373595,EWD US Equity,34000,,34000,2.75,3620661407612944524-CPB10920
CIL,US,SEDOL,2373711,EWG US Equity,38000,,38000,GC,2807734485328086192-CPB10920
CIL,US,SEDOL,B3W43T0,EWGS US Equity,19000,,0,N/A,N/A
CIL,US,SEDOL,2373777,EWH US Equity,44000,,44000,5.38,3386497295531359821-CPB10920
